date,sales
2024-01-01,184
2024-01-02,95
2024-01-03,115
2024-01-04,148
2024-01-05,188
2024-01-06,150
2024-01-07,108
2024-01-08,106
2024-01-09,124
2024-01-10,91
2024-01-11,158
2024-01-12,144
2024-01-13,151
2024-01-14,106
2024-01-15,164
2024-01-16,160
2024-01-17,83
2024-01-18,175
2024-01-19,188
2024-01-20,158
2024-01-21,80
2024-01-22,86
2024-01-23,187
2024-01-24,132
2024-01-25,145
2024-01-26,90
2024-01-27,178
2024-01-28,181
2024-01-29,117
2024-01-30,168
2024-01-31,179
2024-02-01,167
2024-02-02,182
2024-02-03,169
2024-02-04,187
2024-02-05,148
2024-02-06,149
2024-02-07,132
2024-02-08,114
2024-02-09,140
2024-02-10,105
2024-02-11,159
2024-02-12,192
2024-02-13,184
2024-02-14,198
2024-02-15,140
2024-02-16,179
2024-02-17,184
2024-02-18,135
2024-02-19,140
2024-02-20,149
2024-02-21,108
2024-02-22,174
2024-02-23,111
2024-02-24,106
2024-02-25,144
2024-02-26,118
2024-02-27,119
2024-02-28,127
2024-02-29,199
