date,sku_id,pin_code,units_sold,unit_cost,unit_margin,temperature,is_weekend,is_event
2024-01-01,500ml_Cola,395001,136,10.5,4.2,16.214944890965896,0,0
2024-01-02,500ml_Cola,395001,135,10.5,4.2,14.982466845933427,0,0
2024-01-03,500ml_Cola,395001,191,10.5,4.2,14.831054032038256,0,1
2024-01-04,500ml_Cola,395001,130,10.5,4.2,14.87432670955309,0,0
2024-01-05,500ml_Cola,395001,193,10.5,4.2,18.547127792291775,0,1
2024-01-06,500ml_Cola,395001,175,10.5,4.2,16.97252119238676,1,0
2024-01-07,500ml_Cola,395001,171,10.5,4.2,14.55048606517856,1,0
2024-01-08,500ml_Cola,395001,145,10.5,4.2,16.629156212900504,0,0
2024-01-09,500ml_Cola,395001,142,10.5,4.2,16.085363963713114,0,0
2024-01-10,500ml_Cola,395001,136,10.5,4.2,11.835067222455152,0,0
2024-01-11,500ml_Cola,395001,142,10.5,4.2,13.698920923539186,0,0
2024-01-12,500ml_Cola,395001,137,10.5,4.2,16.4187817880242,0,0
2024-01-13,500ml_Cola,395001,184,10.5,4.2,18.79001765598977,1,0
2024-01-14,500ml_Cola,395001,172,10.5,4.2,15.478309271000569,1,0
2024-01-15,500ml_Cola,395001,137,10.5,4.2,14.914925854427201,0,0
2024-01-16,500ml_Cola,395001,135,10.5,4.2,16.302031714824246,0,0
2024-01-17,500ml_Cola,395001,135,10.5,4.2,14.958047520728755,0,0
2024-01-18,500ml_Cola,395001,140,10.5,4.2,15.657695448971015,0,0
2024-01-19,500ml_Cola,395001,178,10.5,4.2,16.298442003228164,0,1
2024-01-20,500ml_Cola,395001,188,10.5,4.2,14.296938559330169,1,0
2024-01-21,500ml_Cola,395001,171,10.5,4.2,18.1469189089311,1,0
2024-01-22,500ml_Cola,395001,124,10.5,4.2,14.152128643713171,0,0
2024-01-23,500ml_Cola,395001,142,10.5,4.2,14.031921638545061,0,0
2024-01-24,500ml_Cola,395001,144,10.5,4.2,17.178956938714105,0,0
2024-01-25,500ml_Cola,395001,193,10.5,4.2,18.361542569917212,0,1
2024-01-26,500ml_Cola,395001,143,10.5,4.2,17.329125680633176,0,0
2024-01-27,500ml_Cola,395001,176,10.5,4.2,16.859246867655745,1,0
2024-01-28,500ml_Cola,395001,169,10.5,4.2,16.59483409811367,1,0
2024-01-29,500ml_Cola,395001,137,10.5,4.2,16.384574189241047,0,0
2024-01-30,500ml_Cola,395001,136,10.5,4.2,19.531186367652207,0,0
2024-01-31,500ml_Cola,395001,195,10.5,4.2,18.178447061824038,0,1
2024-02-01,500ml_Cola,395001,136,10.5,4.2,16.87566520952751,0,0
2024-02-02,500ml_Cola,395001,178,10.5,4.2,16.409715616428958,0,1
2024-02-03,500ml_Cola,395001,177,10.5,4.2,19.106786354863992,1,0
2024-02-04,500ml_Cola,395001,184,10.5,4.2,20.06741577447543,1,0
2024-02-05,500ml_Cola,395001,188,10.5,4.2,19.99203256599573,0,1
2024-02-06,500ml_Cola,395001,131,10.5,4.2,16.577128765225268,0,0
2024-02-07,500ml_Cola,395001,140,10.5,4.2,17.76522906587479,0,0
2024-02-08,500ml_Cola,395001,140,10.5,4.2,17.555355913959605,0,0
2024-02-09,500ml_Cola,395001,136,10.5,4.2,18.274359037770594,0,0
2024-02-10,500ml_Cola,395001,178,10.5,4.2,20.40458416037972,1,0
2024-02-11,500ml_Cola,395001,185,10.5,4.2,21.627711355990385,1,0
2024-02-12,500ml_Cola,395001,131,10.5,4.2,19.776005180487633,0,0
2024-02-13,500ml_Cola,395001,128,10.5,4.2,17.901757756251744,0,0
2024-02-14,500ml_Cola,395001,136,10.5,4.2,19.26133035886892,0,0
2024-02-15,500ml_Cola,395001,144,10.5,4.2,22.604934179951815,0,0
2024-02-16,500ml_Cola,395001,144,10.5,4.2,19.794042421093344,0,0
2024-02-17,500ml_Cola,395001,191,10.5,4.2,19.167829225412763,1,0
2024-02-18,500ml_Cola,395001,187,10.5,4.2,19.473946785803932,1,0
2024-02-19,500ml_Cola,395001,142,10.5,4.2,20.776469641423724,0,0
2024-02-20,500ml_Cola,395001,140,10.5,4.2,18.595674393055738,0,0
2024-02-21,500ml_Cola,395001,134,10.5,4.2,19.36098320380242,0,0
2024-02-22,500ml_Cola,395001,145,10.5,4.2,22.34851081800004,0,0
2024-02-23,500ml_Cola,395001,142,10.5,4.2,21.329746293815056,0,0
2024-02-24,500ml_Cola,395001,185,10.5,4.2,21.02221907257291,1,0
2024-02-25,500ml_Cola,395001,179,10.5,4.2,22.922410089006046,1,0
2024-02-26,500ml_Cola,395001,146,10.5,4.2,19.73925974980922,0,0
2024-02-27,500ml_Cola,395001,154,10.5,4.2,20.647430277897733,0,0
2024-02-28,500ml_Cola,395001,195,10.5,4.2,22.055479332365437,0,1
2024-02-29,500ml_Cola,395001,148,10.5,4.2,22.146881548418648,0,0
2024-03-01,500ml_Cola,395001,146,10.5,4.2,18.95656189897553,0,0
2024-03-02,500ml_Cola,395001,180,10.5,4.2,21.10949710790639,1,0
2024-03-03,500ml_Cola,395001,185,10.5,4.2,21.79260424786189,1,0
2024-03-04,500ml_Cola,395001,147,10.5,4.2,23.088520138288022,0,0
2024-03-05,500ml_Cola,395001,147,10.5,4.2,22.96156783028366,0,0
